pred 40t vol,prop,act vol,av1,av2,av3,av4,av5
6422.56,0.0079145,316.58,126.632,63.316,63.316,31.658,31.658,34.1366
4363.5,0.00537712,215.085,86.034,43.017,43.017,21.5085,21.5085,34.1001
3481.25,0.00428993,171.597,68.6389,34.3195,34.3195,17.1597,17.1597,34.112
3953.12,0.00487142,194.857,77.9427,38.9714,38.9714,19.4857,19.4857,34.1327
4983.31,0.00614092,245.637,98.2547,49.1273,49.1273,24.5637,24.5637,34.1417
3760.94,0.00463459,185.384,74.1534,37.0767,37.0767,18.5384,18.5384,34.1244
3006.5,0.0037049,148.196,59.2784,29.6392,29.6392,14.8196,14.8196,34.1061
4578.38,0.00564191,225.677,90.2706,45.1353,45.1353,22.5677,22.5677,34.0961
4168.75,0.00513713,205.485,82.1942,41.0971,41.0971,20.5485,20.5485,34.1295
5503.5,0.00678194,271.278,108.511,54.2555,54.2555,27.1278,27.1278,34.1544
4981,0.00613807,245.523,98.2091,49.1045,49.1045,24.5523,24.5523,34.1153
3297.31,0.00406327,162.531,65.0123,32.5061,32.5061,16.2531,16.2531,34.1059
5872.62,0.00723681,289.473,115.789,57.8945,57.8945,28.9473,28.9473,34.1257
2783.56,0.00343017,137.207,54.8828,27.4414,27.4414,13.7207,13.7207,34.104
4196.81,0.00517172,206.869,82.7475,41.3737,41.3737,20.6869,20.6869,34.1101
4509.25,0.00555673,222.269,88.9077,44.4539,44.4539,22.2269,22.2269,34.1077
3081,0.0037967,151.868,60.7473,30.3736,30.3736,15.1868,15.1868,34.1119
3928.88,0.00484154,193.662,77.4646,38.7323,38.7323,19.3662,19.3662,34.1316
6780.69,0.00835582,334.233,133.693,66.8465,66.8465,33.4233,33.4233,34.1535
13729.6,0.016919,676.759,270.703,135.352,135.352,67.6759,67.6759,34.2063
5254.88,0.00647556,259.023,103.609,51.8045,51.8045,25.9023,25.9023,34.1771
8930.44,0.0110049,440.198,176.079,88.0396,88.0396,44.0198,44.0198,34.1548
5351,0.00659402,263.761,105.504,52.7521,52.7521,26.3761,26.3761,34.1495
23085.3,0.0284479,1137.92,455.167,227.584,227.584,113.792,113.792,34.2425
18353.9,0.0226174,904.696,361.879,180.939,180.939,90.4696,90.4696,34.3405
55959.4,0.0689586,2758.34,1103.34,551.669,551.669,275.834,275.834,34.4899
45026.1,0.0554855,2219.42,887.768,443.884,443.884,221.942,221.942,34.5445
