pred 40t vol,prop,act vol,av1,av2,av3,av4,av5
4666.69,0.0058086,232.344,92.9376,46.4688,46.4688,23.2344,23.2344,21.1028
5904.25,0.00734899,293.96,117.584,58.7919,58.7919,29.396,29.396,21.1455
4431.81,0.00551625,220.65,88.26,44.13,44.13,22.065,22.065,21.1887
2832.38,0.00352544,141.018,56.4071,28.2035,28.2035,14.1018,14.1018,21.189
3478.44,0.00432959,173.184,69.2735,34.6367,34.6367,17.3184,17.3184,21.1487
3503.12,0.00436032,174.413,69.7651,34.8826,34.8826,17.4413,17.4413,21.1274
11284.6,0.0140458,561.833,224.733,112.367,112.367,56.1833,56.1833,21.1057
3673.19,0.004572,182.88,73.1519,36.576,36.576,18.288,18.288,21.0785
3452.19,0.00429692,171.877,68.7507,34.3754,34.3754,17.1877,17.1877,21.0735
4672.31,0.0058156,232.624,93.0496,46.5248,46.5248,23.2624,23.2624,21.0543
5520.75,0.00687165,274.866,109.946,54.9732,54.9732,27.4866,27.4866,21.0608
3626.62,0.00451404,180.562,72.2246,36.1123,36.1123,18.0562,18.0562,21.0963
10297.8,0.0128176,512.702,205.081,102.54,102.54,51.2702,51.2702,21.1389
7970.75,0.00992115,396.846,158.738,79.3692,79.3692,39.6846,39.6846,21.0755
6103.75,0.0075973,303.892,121.557,60.7784,60.7784,30.3892,30.3892,21.0662
4832.06,0.00601444,240.578,96.2311,48.1155,48.1155,24.0578,24.0578,21.0824
5711.31,0.00710884,284.354,113.741,56.8707,56.8707,28.4354,28.4354,21.1015
5241.62,0.00652422,260.969,104.388,52.1938,52.1938,26.0969,26.0969,21.1199
3255.94,0.00405265,162.106,64.8424,32.4212,32.4212,16.2106,16.2106,21.1405
4879.25,0.00607318,242.927,97.1708,48.5854,48.5854,24.2927,24.2927,21.1489
8922.62,0.0111059,444.238,177.695,88.8475,88.8475,44.4238,44.4238,21.167
4282.62,0.00533056,213.222,85.289,42.6445,42.6445,21.3222,21.3222,21.1308
4693.06,0.00584143,233.657,93.4629,46.7314,46.7314,23.3657,23.3657,21.1113
3244.69,0.00403864,161.546,64.6183,32.3092,32.3092,16.1546,16.1546,21.1024
7181.69,0.00893901,357.56,143.024,71.5121,71.5121,35.756,35.756,21.1221
3760.62,0.00468083,187.233,74.8933,37.4466,37.4466,18.7233,18.7233,21.1181
9727.31,0.0121075,484.301,193.721,96.8603,96.8603,48.4301,48.4301,21.0725
