pred 40t vol,prop,act vol,av1,av2,av3,av4,av5
3409.62,0.00241943,96.777,38.7108,19.3554,19.3554,9.6777,9.6777,19.7703
4325.12,0.00306905,122.762,49.1048,24.5524,24.5524,12.2762,12.2762,19.7895
3242.25,0.00230066,92.0263,36.8105,18.4053,18.4053,9.20263,9.20263,19.7722
5040.62,0.00357676,143.07,57.2282,28.6141,28.6141,14.307,14.307,19.7544
4981.62,0.0035349,141.396,56.5583,28.2792,28.2792,14.1396,14.1396,19.7432
6756.62,0.00479441,191.777,76.7106,38.3553,38.3553,19.1777,19.1777,19.7471
6713.75,0.00476399,190.56,76.2238,38.1119,38.1119,19.056,19.056,19.7051
3995.5,0.00283515,113.406,45.3625,22.6812,22.6812,11.3406,11.3406,19.6931
5603.38,0.00397608,159.043,63.6173,31.8087,31.8087,15.9043,15.9043,19.7226
5501.75,0.00390397,156.159,62.4635,31.2318,31.2318,15.6159,15.6159,19.7583
4008.12,0.00284411,113.765,45.5058,22.7529,22.7529,11.3765,11.3765,19.7486
5317.5,0.00377323,150.929,60.3717,30.1858,30.1858,15.0929,15.0929,19.7564
5961.25,0.00423003,169.201,67.6804,33.8402,33.8402,16.9201,16.9201,19.7866
19657.2,0.0139485,557.941,223.176,111.588,111.588,55.7941,55.7941,19.8859
11399.6,0.00808903,323.561,129.424,64.7122,64.7122,32.3561,32.3561,19.8988
5842.5,0.00414576,165.83,66.3322,33.1661,33.1661,16.583,16.583,19.8898
12100.5,0.00858636,343.454,137.382,68.6909,68.6909,34.3454,34.3454,19.8937
18344.1,0.0130168,520.67,208.268,104.134,104.134,52.067,52.067,19.9592
9841.5,0.0069834,279.336,111.734,55.8672,55.8672,27.9336,27.9336,19.9791
7193.62,0.0051045,204.18,81.672,40.836,40.836,20.418,20.418,19.9539
10630.6,0.00754335,301.734,120.694,60.3468,60.3468,30.1734,30.1734,19.9502
19150.8,0.0135891,543.565,217.426,108.713,108.713,54.3565,54.3565,20.0089
36872.9,0.0261645,1046.58,418.632,209.316,209.316,104.658,104.658,20.0636
19611.6,0.0139162,556.646,222.658,111.329,111.329,55.6646,55.6646,20.0591
9895.5,0.00702172,280.869,112.347,56.1737,56.1737,28.0869,28.0869,20.0375
9029.88,0.00640748,256.299,102.52,51.2599,51.2599,25.6299,25.6299,20.0439
9515.25,0.0067519,270.076,108.03,54.0152,54.0152,27.0076,27.0076,20.0224
13417.2,0.00952071,380.828,152.331,76.1656,76.1656,38.0828,38.0828,20.0038
