pred 40t vol,prop,act vol,av1,av2,av3,av4,av5
9942,0.0049825,199.3,79.72,39.86,39.86,19.93,19.93,7.14454
7137.88,0.0035772,143.088,57.2351,28.6176,28.6176,14.3088,14.3088,7.14558
5847.12,0.00293033,117.213,46.8852,23.4426,23.4426,11.7213,11.7213,7.14707
14150.2,0.0070915,283.66,113.464,56.732,56.732,28.366,28.366,7.14878
4569.38,0.00228997,91.599,36.6396,18.3198,18.3198,9.1599,9.1599,7.15341
13260.2,0.00664547,265.819,106.327,53.1637,53.1637,26.5819,26.5819,7.14852
6773.5,0.00339459,135.783,54.3134,27.1567,27.1567,13.5783,13.5783,7.14611
6391.12,0.00320296,128.118,51.2473,25.6237,25.6237,12.8118,12.8118,7.14509
6730.25,0.00337291,134.916,53.9666,26.9833,26.9833,13.4916,13.4916,7.14423
5271.5,0.00264185,105.674,42.2696,21.1348,21.1348,10.5674,10.5674,7.14531
7743.88,0.0038809,155.236,62.0943,31.0472,31.0472,15.5236,15.5236,7.14547
6094.12,0.00305411,122.165,48.8658,24.4329,24.4329,12.2165,12.2165,7.14658
14749.8,0.00739194,295.678,118.271,59.1355,59.1355,29.5678,29.5678,7.14605
13628.4,0.00682995,273.198,109.279,54.6396,54.6396,27.3198,27.3198,7.14468
9472.88,0.0047474,189.896,75.9583,37.9792,37.9792,18.9896,18.9896,7.1452
18883.2,0.00946347,378.539,151.416,75.7078,75.7078,37.8539,37.8539,7.14438
15744.4,0.0078904,315.616,126.246,63.1232,63.1232,31.5616,31.5616,7.14724
8247.12,0.0041331,165.324,66.1297,33.0648,33.0648,16.5324,16.5324,7.15675
8030.12,0.00402435,160.974,64.3896,32.1948,32.1948,16.0974,16.0974,7.15462
12032,0.00602992,241.197,96.4787,48.2394,48.2394,24.1197,24.1197,7.15514
6586.38,0.00330081,132.032,52.8129,26.4065,26.4065,13.2032,13.2032,7.15554
15501,0.00776843,310.737,124.295,62.1475,62.1475,31.0737,31.0737,7.15353
24007.4,0.0120315,481.258,192.503,96.2517,96.2517,48.1258,48.1258,7.14677
7469.38,0.00374333,149.733,59.8933,29.9466,29.9466,14.9733,14.9733,7.14683
6419.88,0.00321736,128.695,51.4778,25.7389,25.7389,12.8695,12.8695,7.1464
9636.88,0.00482959,193.183,77.2734,38.6367,38.6367,19.3183,19.3183,7.14404
15484.8,0.00776029,310.412,124.165,62.0823,62.0823,31.0412,31.0412,7.14512
