,Predictions,price,Predictions,volume
0,6.694533825,6.690000057,9533.9375,13713.15706
1,6.695073128,6.670000076,10476.05957,17922.7739
2,6.694068909,6.690000057,11611.91797,18294.50618
3,6.692525387,6.690000057,12927.34473,18467.31145
4,6.691100597,6.679999828,14336.28223,18511.51745
5,6.689396858,6.690000057,15743.25098,18919.41827
6,6.688276768,6.690000057,17073.59961,19508.16182
7,6.68763113,6.690000057,18183.71289,19514.18991
8,6.687637806,6.659999847,19151.97266,23999.08958
9,6.686206818,6.670000076,20098.83008,24619.98294
10,6.683615208,6.679999828,21023.45703,24650.1234
11,6.681500912,6.690000057,22012.71289,25200.68904
12,6.680665016,6.690000057,22873.57227,25200.68904
13,6.680749893,6.679999828,23754.54688,30075.40525
14,6.681252956,6.679999828,24770.99219,30135.68616
15,6.681789875,6.679999828,25916.8418,30155.7798
16,6.681968212,6.670000076,27106.82227,30167.83598
17,6.681403637,6.679999828,28255.57813,30234.14498
18,6.680709362,6.679999828,29323.82813,30366.76298
19,6.680397034,6.670000076,30087.42188,30724.42971
20,6.679411888,6.679999828,30750.45117,30732.46716
21,6.678508759,6.679999828,31325.61133,31132.33053
22,6.677997112,6.679999828,31795.22461,31721.07408
23,6.67799139,6.670000076,32211.10938,32034.53481
24,6.67782402,6.670000076,32396.91406,32231.45245
25,6.677161217,6.670000076,32622.33008,32299.77081
26,6.676143646,6.670000076,32873.07422,32337.94872
27,6.675049305,6.670000076,33130.07422,32988.98254
28,6.673825741,6.670000076,33395.90625,33875.11191
29,6.672791481,6.670000076,33691.47266,36232.09547
30,6.67206192,6.679999828,34086.47656,36451.11611
31,6.671979904,6.670000076,34605.34375,36744.4832
32,6.672155857,6.670000076,35201.91406,37395.51702
33,6.672298908,6.670000076,35844.74609,37847.62384
34,6.672388554,6.670000076,36519.72656,37974.21375
35,6.672271252,6.679999828,37193.34375,38014.40103
36,6.672598362,6.670000076,37831.74609,38528.79812
37,6.672886372,6.670000076,38421.95313,38810.10903
38,6.672951698,6.670000076,38933.16797,38876.41803
39,6.672792435,6.670000076,39357.10547,38936.69894
40,6.672480583,6.670000076,39640.69922,39539.50804
41,6.672029972,6.659999847,39916.10156,39981.56804
42,6.671173096,6.670000076,40192.40625,40855.64123
43,6.67030859,6.679999828,40482.26953,42547.52542
44,6.670275211,6.679999828,40854.33984,42577.66587
45,6.671136856,6.679999828,41317.82422,42577.66587
46,6.672544003,6.690000057,41837.31641,42708.27451
47,6.674945831,6.690000057,42352.11328,42776.59288
48,6.677865028,6.690000057,42841.73438,42844.91124
49,6.680891991,6.690000057,43290.48047,42862.99551
50,6.683678627,6.690000057,43680.07813,42929.30451
51,6.6860075,6.679999828,43981.83984,43041.82888
52,6.6872859,6.679999828,44213.01172,44195.20361
53,6.687278748,6.690000057,44406.27734,44466.4677
54,6.687000275,6.710000038,44563.05469,44508.66434
55,6.688139915,6.699999809,44769.14453,44510.6737
56,6.690145969,6.690000057,45004.61328,44556.88907
57,6.691798687,6.690000057,45242.73828,44679.46025
58,6.692852974,6.679999828,45473.20703,44779.92843
59,6.692685604,6.699999809,45687.3125,44820.11571
60,6.692605972,6.699999809,45880.60938,45089.37044
61,6.693036556,6.699999809,46055.26172,45254.13825
62,6.694017887,6.699999809,46215.13672,45276.24125
63,6.6951828,6.699999809,46319.85156,45298.34425
64,6.696279526,6.699999809,46417.90625,45316.42853
65,6.697181702,6.699999809,46515.55469,45386.75626
66,6.69819212,6.699999809,46610.60938,45469.14016
67,6.699095726,6.710000038,46699.61719,45879.05035
68,6.700291634,6.699999809,46792.00781,45883.06908
69,6.701314926,6.699999809,46890.76563,45883.06908
70,6.701663971,6.699999809,46994.05469,45925.26571
71,6.70174408,6.710000038,47087.42578,45973.49044
72,6.702212334,6.710000038,47174.37109,45973.49044
73,6.703147411,6.710000038,47257.38672,45973.49044
74,6.704384804,6.710000038,47332.01953,46011.66835
75,6.705710411,6.710000038,47396.90234,46102.08971
76,6.706949711,6.710000038,47452.29297,46150.31444
77,6.707995415,6.710000038,47500.67188,46154.33317
78,6.708717346,6.690000057,47530.125,47725.65554
79,6.708180428,6.699999809,47617.60156,49286.9311
80,6.706818581,6.699999809,47828.44922,50060.5361
81,6.70515871,6.699999809,48185.30078,52471.77248
82,6.703467846,6.679999828,48743.38281,53225.28385
83,6.700926781,6.699999809,49496.96094,53257.43367
84,6.698766232,6.690000057,50378.64844,53259.44303
85,6.696833134,6.699999809,51302.02344,53460.3794
86,6.695714474,6.699999809,52196.19141,53500.56667
87,6.695453167,6.690000057,53010.65625,53582.95058
88,6.695251465,6.699999809,53715.67578,53586.96931
89,6.69559288,6.699999809,54233.38281,53647.25022
90,6.696062565,6.690000057,54587.37109,53687.43749
91,6.696177959,6.699999809,54837.02734,53791.9244
92,6.696386337,6.690000057,54937.72266,54147.58176
93,6.696374893,6.690000057,55009.42578,54716.23168
94,6.695604324,6.690000057,55113.54688,55122.12313
95,6.694707394,6.699999809,55264.57422,55140.20741
96,6.694182396,6.699999809,55446.19922,55158.29168
97,6.694360733,6.699999809,55650.39453,55194.46023
98,6.695151329,6.699999809,55857.79297,56134.84241
99,6.696062088,6.71999979,56090.03125,57473.0786
100,6.698263645,6.710000038,56387.92969,57501.20969
101,6.701076031,6.710000038,56749.21875,57599.66851
102,6.703677177,6.699999809,57147.95703,57619.76215
103,6.705431938,6.710000038,57543.80469,57663.96815
104,6.706616402,6.710000038,57904.95703,57669.99624
105,6.707480431,6.710000038,58223.03125,58628.4627
106,6.708050728,6.710000038,58537.08984,58628.4627
107,6.708549976,6.71999979,58845.02344,59739.6408
108,6.709565639,6.710000038,59175.51563,61033.67099
109,6.710478783,6.71999979,59536.43359,61980.08127
110,6.711489677,6.71999979,59951.125,62036.34345
111,6.713003159,6.71999979,60465.17969,62120.73672
112,6.714604378,6.71999979,61028.39063,62124.75545
113,6.716193676,6.71999979,61594.94141,62313.63563
114,6.717386723,6.71999979,62129.11719,62335.73863
115,6.718338966,6.71999979,62606.95703,62337.748
116,6.719038486,6.710000038,62974.58984,63147.52155
117,6.718900204,6.699999809,63306.61719,63193.73691
118,6.717290401,6.699999809,63565.21484,63193.73691
119,6.714780331,6.699999809,63757.12891,63213.83055
120,6.711628437,6.710000038,63907.6875,63254.01782
121,6.70912981,6.710000038,64056.76172,63376.589
122,6.707599163,6.710000038,64198.0625,63376.589
123,6.706957817,6.699999809,64329.35156,64308.93374
124,6.706376553,6.699999809,64471.46094,64427.48619
125,6.705609322,6.699999809,64641.625,65381.93393
126,6.70468235,6.699999809,64866.625,65898.34038
127,6.703794479,6.699999809,65125.5625,65944.55575
128,6.702967167,6.699999809,65443.59375,65952.5932
129,6.702141285,6.699999809,65791.89063,65952.5932
130,6.701417446,6.699999809,66138.19531,66053.06138
131,6.700762272,6.699999809,66460.65625,66055.07075
132,6.700352669,6.699999809,66741.01563,66314.27866
133,6.700134277,6.699999809,66986.28906,67684.66467
134,6.700134277,6.710000038,67207.57813,67720.83321
135,6.70072794,6.710000038,67461.53125,67923.77894
136,6.701909542,6.710000038,67710.77344,67923.77894
137,6.703439713,6.699999809,67967.0625,68464.29776
138,6.704454899,6.699999809,68251.32813,68878.22667
139,6.70475626,6.710000038,68562.28125,69247.94959
140,6.705058098,6.710000038,68896.26563,69247.94959
141,6.705574989,6.699999809,69231.57031,69720.15004
142,6.705683708,6.699999809,69570.22656,69872.86168
143,6.705285072,6.710000038,69893.88281,69890.94595
144,6.705111027,6.710000038,70148.84375,69915.05832
