,Predictions,price,Predictions,volume
0,4.682071209,4.682857163,12982.83789,12494.99988
1,4.682410717,4.66857117,13430.36719,12919.68364
2,4.676407814,4.682857163,13931.34668,13360.20307
3,4.679643154,4.66857117,14446.13965,13701.38969
4,4.675187111,4.66857117,14967.2627,14550.75722
5,4.672612667,4.682857163,15496.86523,14678.88215
6,4.677626133,4.682857163,16007.2041,14694.71782
7,4.680006981,4.682857163,16457.67383,16011.95729
8,4.681016445,4.682857163,16902.53516,16094.01483
9,4.681498051,4.66857117,17348.70898,16261.00913
10,4.675544262,4.682857163,17782.51563,16514.37978
11,4.678897381,4.682857163,18189.13477,16805.18019
12,4.680822849,4.682857163,18558.69531,16897.31497
13,4.681577682,4.682857163,18880.99219,17362.3077
14,4.68211174,4.682857163,19168.55078,17393.97904
15,4.682457924,4.682857163,19436.21094,17529.302
16,4.682548046,4.682857163,19664.93945,17576.809
17,4.682621956,4.66857117,19843.74609,17906.47876
18,4.676407814,4.682857163,20029.93359,17978.45906
19,4.679643154,4.682857163,20201.17773,18048.99976
20,4.681426525,4.682857163,20354.46875,18162.72863
21,4.682057381,4.66857117,20492.38672,18334.04174
22,4.676064014,4.66857117,20623.13672,18427.61613
23,4.673001766,4.682857163,20743.96094,18692.50363
24,4.677858829,4.66857117,20877.52539,18902.6861
25,4.673983097,4.682857163,21021.29883,18990.50207
26,4.67802763,4.682857163,21172.99609,19040.88828
27,4.680074215,4.682857163,21320.00195,19042.32788
28,4.681155682,4.66857117,21458.28125,25670.27383
29,4.675354958,4.654285859,21969.16211,26637.68905
30,4.666343212,4.66857117,22942.50781,27167.46405
31,4.667778492,4.66857117,24267.83789,27658.36969
32,4.668914318,4.66857117,25760.44141,27970.76419
33,4.669251442,4.66857117,27226.52344,28201.10114
34,4.669101715,4.654285859,28518.58203,28216.93681
35,4.663101673,4.66857117,29531.29102,28602.75121
36,4.665489197,4.66857117,30236.79297,28657.45624
37,4.666993618,4.66857117,30644.30469,37086.34926
38,4.667546749,4.682857163,31297.32031,37475.04288
39,4.674054623,4.682857163,32544.92969,40368.6509
40,4.677633286,4.66857117,34310.47266,40767.42176
41,4.673161983,4.66857117,36373.42188,40801.9723
42,4.670884132,4.66857117,38445.45703,40836.52285
43,4.669996738,4.66857117,40272.70313,41242.49173
44,4.669635773,4.682857163,41713.40625,41832.73019
45,4.675853729,4.66857117,42730.79688,42205.58814
46,4.672738075,4.682857163,43366.48047,42247.33671
47,4.677170277,4.682857163,43664.22266,42247.33671
