,Predictions,price,Predictions,volume
0,21.18210983,21.21073194,11322.24805,8169.038051
1,21.18640137,21.21073194,11620.71777,8509.81619
2,21.18963814,21.23243975,11880.19141,9331.367811
3,21.19101334,21.21073194,12150.83984,9543.20287
4,21.19350052,21.25414756,12449.38867,9666.619818
5,21.19765854,21.27585536,12760.21191,9939.242329
6,21.20549393,21.27585536,13076.89746,10373.96471
7,21.22093391,21.29756317,13407.7959,10458.69873
8,21.23066902,21.31927098,13727.33398,10676.05993
9,21.24080467,21.23243975,14019.60059,12282.32229
10,21.25035095,21.21073194,14358.24512,12672.83562
11,21.25720215,21.21073194,14764.44141,12866.25023
12,21.26060104,21.18902413,15222.5625,13236.50108
13,21.25857353,21.12390485,15725.28223,13662.01324
14,21.25311089,21.12390485,16233.13184,14056.21065
15,21.23964691,21.14561266,16720.67188,14183.31169
16,21.22209167,21.10219705,17163.45508,14437.51376
17,21.20272255,21.10219705,17552.19336,14557.24662
18,21.18095207,21.03707363,17864.4043,14840.9214
19,21.15642166,21.10219705,18109.71875,15141.17457
20,21.13899422,21.05878143,18360.68555,15397.21868
21,21.12302971,21.03707363,18603.93164,15467.21635
22,21.10664177,21.05878143,18828.33398,15540.89811
23,21.09230232,21.05878143,19032.00781,15631.15827
24,21.08338737,21.05878143,19214.74414,15942.4637
25,21.0749321,20.97195434,19388.94727,18062.65634
26,21.06357574,21.05878143,19662.71094,27801.54293
27,21.05586815,21.08048924,20595.39063,38490.92423
28,21.04974556,21.05878143,22818.21094,38691.70702
29,21.04979324,20.99365801,26187.9082,38925.64661
30,21.04426765,21.08048924,30179.12305,39181.69072
31,21.04318047,21.10219705,34195.82813,39854.03678
32,21.04557419,21.12390485,37759.77344,40561.38168
33,21.04902458,21.23243975,40574.77344,40791.63717
34,21.05817223,21.14561266,42494.28516,40856.10871
35,21.07104301,21.21073194,43517.49219,41003.47223
36,21.09342766,21.08048924,43834.70313,41207.93912
37,21.10761261,21.12390485,43966.71484,41312.93562
38,21.11828995,21.21073194,44249.0625,41393.98556
39,21.13056374,21.21073194,44472.39453,41502.66616
40,21.14773941,21.18902413,44639.29297,41554.24339
41,21.15777206,21.12390485,44756.96484,41740.28983
42,21.16433334,21.12390485,44859.79688,41983.43964
43,21.16676521,21.10219705,44977.17969,42171.32813
44,21.15867043,21.12390485,45109.40234,42184.22243
45,21.15588188,21.10219705,45244.63672,42397.89954
46,21.14659691,21.10219705,45385.33984,42731.3095
47,21.14575958,21.10219705,45544.17969,42889.72528
48,21.1398716,21.10219705,45718.59375,42983.66953
49,21.12734032,21.14561266,45898.34375,43652.3315
50,21.11723137,21.16731633,46105.99609,43853.11429
51,21.112257,21.18902413,46341.23438,43952.58467
52,21.11580849,21.21073194,46593.11719,44151.52542
53,21.12274933,21.18902413,46850.65234,44407.56953
54,21.13350868,21.16731633,47105.23047,44892.0271
55,21.14307976,21.12390485,47360.30859,45370.95854
56,21.15250206,21.10219705,47636.34766,45575.42543
57,21.15830803,21.12390485,47934.84375,46072.7773
58,21.16073036,21.12390485,48254.85547,46640.12685
59,21.16038513,21.14561266,48602.76563,46971.69477
60,21.15561676,21.10219705,48994.12109,47122.74238
61,21.14837456,21.14561266,49391.73047,47178.0037
62,21.14028931,21.14561266,49756.625,47264.57977
63,21.13237381,21.14561266,50065.25,47638.5147
64,21.12814331,21.14561266,50324.05859,47763.77369
65,21.12711525,21.12390485,50546.82422,47815.35092
66,21.12958145,21.10219705,50736.73047,47924.03152
67,21.13230896,21.08048924,50889.34375,48187.44381
68,21.13105965,21.10219705,51031.03906,48270.33579
69,21.12818909,21.10219705,51175.65625,48377.17434
70,21.12277794,21.10219705,51320.48047,48437.96179
71,21.12018204,21.10219705,51456.15625,48686.63773
72,21.11416245,21.05878143,51585.05859,48854.26373
73,21.10758591,21.05878143,51713.03906,48933.47163
74,21.10025215,21.05878143,51850.05078,49055.04653
75,21.09233665,21.03707363,51987.45703,49416.08715
76,21.0851078,21.05878143,52133.62891,49874.75611
77,21.0790062,21.05878143,52309.95313,50140.01044
78,21.07431602,21.05878143,52528.45313,50445.78974
79,21.06819916,21.10219705,52781.55469,50705.51795
80,21.06396294,20.99365801,53059.59766,51221.29027
81,21.05927277,21.01536582,53362.97266,51331.81291
82,21.05368233,21.05878143,53680.52344,51573.12067
83,21.05133438,21.01536582,53994.03125,51679.95922
84,21.04812813,21.01536582,54280.5,51729.69441
85,21.04405975,21.05878143,54522.33203,51803.37617
86,21.04196739,21.03707363,54719.66016,51961.79195
87,21.03866768,21.01536582,54883.09375,52145.99635
88,21.03547859,21.01536582,55020.07813,52180.99519
89,21.03216934,21.01536582,55137.48438,52422.30295
90,21.02576256,21.01536582,55248.82422,52628.61188
91,21.02736664,21.01536582,55378.29688,52742.8186
92,21.02646828,21.01536582,55517.01172,52919.65483
93,21.02216911,21.03707363,55669.45313,53177.54099
94,21.02182961,21.03707363,55835.10938,53958.56764
95,21.02209663,21.05878143,56044.98828,54028.56531
96,21.02064896,21.05878143,56293.75781,54124.3516
97,21.02268219,21.12390485,56562.08984,54198.03336
98,21.02926636,21.05878143,56825.52734,54667.75458
99,21.03700256,21.08048924,57080.46094,54855.64306
100,21.04532242,21.12390485,57330.65234,54912.74643
101,21.05481529,21.12390485,57563.55078,54958.79753
102,21.06540108,21.05878143,57762.57813,55358.52107
103,21.07491684,21.14561266,57941.97656,55527.98912
104,21.08304787,21.14561266,58113.91406,55605.35497
105,21.09199715,21.14561266,58299.47656,55732.45601
106,21.10013771,21.16731633,58474.91016,55854.03091
