,Predictions,price,Predictions,volume
0,18.97775078,18.95371513,13137.35645,9157.411381
1,18.97010422,18.94000053,13540.27734,9763.060466
2,18.96132278,18.96742973,13915.77734,10034.28376
3,18.95568085,18.96742973,14277.43164,10371.19784
4,18.95522881,18.98114302,14623.65625,11009.69231
5,18.95737839,18.99485761,14973.0498,11414.2878
6,18.96566772,19.00857221,15339.55566,11947.77656
7,18.97974586,19.0291428,15726.29199,15981.78764
8,18.99739838,19.0291428,16263.27637,18746.77229
9,19.01582909,19.03600009,17068.53516,19839.62799
10,19.0301075,19.03600009,18154.5957,20599.55088
11,19.04068184,19.04285739,19468.80664,21180.81475
12,19.04631233,19.04971469,20903.26172,21342.55341
13,19.05135536,19.07028658,22345.92969,21461.49354
14,19.05612183,19.07028658,23681.66406,21876.04217
15,19.06206512,19.08399987,24833.29492,22270.18685
16,19.06984901,19.08399987,25773.00391,22506.07647
17,19.07835197,19.08399987,26490.75586,22633.97443
18,19.08651543,19.09771447,26965.53516,23041.55586
19,19.09309578,19.07714388,27313.02734,24570.35946
20,19.09601974,19.09771447,27659.49609,25315.35263
21,19.09687233,19.09771447,28060.37109,25563.68368
22,19.09740829,19.11142907,28524.61914,26399.74815
23,19.09965134,19.10457177,29059.58203,26829.22651
24,19.10376358,19.11142907,29644.36719,27709.5825
25,19.10777092,19.11142907,30264.64063,28284.37682
26,19.11214638,19.11142907,30909.73047,28565.55326
27,19.11510277,19.13200096,31556.79297,28935.81039
28,19.11891937,19.13885826,32180.33398,29186.62973
29,19.12551117,19.15257155,32751.5918,29768.39126
30,19.13278961,19.15257155,33258.69141,30059.02319
31,19.14271545,19.15942885,33729.9375,30703.48956
32,19.15224075,19.16628614,34184.19141,31234.98769
33,19.16166496,19.14571425,34621.41016,31930.71277
34,19.16569519,19.16628614,35068.74219,32693.12394
35,19.16749763,19.15942885,35537.37891,33634.19413
36,19.16691589,19.17314344,36057.98438,34046.25448
37,19.1664257,19.16628614,36630.14453,34286.12536
38,19.16744614,19.17314344,37225.09375,34603.63079
39,19.16927147,19.16628614,37815.99609,35610.39176
40,19.17126274,19.15942885,38398.36719,36357.37555
41,19.17097092,19.15942885,38986.00391,37161.09229
42,19.1691227,19.15942885,39582.51172,37874.73304
43,19.16651535,19.15942885,40198.64453,38385.82722
44,19.16208076,19.15257155,40828.18359,38869.55023
45,19.15916634,19.14571425,41462.10547,41170.2205
46,19.15499115,19.16628614,42154.46094,41719.6343
47,19.15423203,19.16628614,42926.25,42555.69877
48,19.15571213,19.15942885,43765.87891,42847.32602
49,19.15886879,19.15257155,44629.17188,43970.53883
50,19.16046333,19.15257155,45490.95703,44796.1525
51,19.1600132,19.15257155,46352.62109,46048.25857
52,19.15846062,19.14571425,47223.10547,46215.96913
53,19.15560532,19.14571425,48081.11328,46488.18774
54,19.15209961,19.13200096,48895.94922,47212.77695
55,19.14660835,19.14571425,49652.14063,47533.26833
56,19.14170647,19.13200096,50317.07031,47879.6379
57,19.13897514,19.12514366,50933.20313,48399.6899
