,Predictions,price,Predictions,volume
0,16.01323128,15.86956514,13909.83887,15003.2532
1,15.98184776,15.86956514,14794.83008,15595.33575
2,15.95152855,15.81478297,15628.45117,16640.4839
3,15.92206764,15.83304428,16412.70703,18166.78916
4,15.89510727,15.79652167,17168.80469,18998.72997
5,15.87051296,15.83304428,17914.66211,19901.98
6,15.85083866,15.92434904,18668.04688,20732.48022
7,15.84079647,15.88782644,19486.68945,21310.15687
8,15.83881187,15.88782644,20351.00977,22517.37141
9,15.84325695,15.88782644,21239.21094,23048.22888
10,15.85068226,15.92434904,22142.54297,23805.9793
11,15.86048222,15.88782644,23036.35938,24479.45519
12,15.87007809,15.92434904,23901.8457,24772.61529
13,15.87966251,15.99739251,24706.84961,25484.26682
14,15.8911705,15.96086991,25442.84961,25766.62249
15,15.90354824,15.97913121,26130.32422,26540.9397
16,15.91577816,15.96086991,26773.02148,27074.67835
17,15.92683125,15.97913121,27380.75586,27464.35798
18,15.93768311,15.99739251,27961.1543,28065.08407
19,15.94772339,15.99739251,28504.16602,28232.91283
20,15.95664501,15.99739251,29029.20117,28863.17102
21,15.96413422,15.99739251,29531.86328,30552.26297
22,15.97043133,16.05217467,30059.93555,31153.70935
23,15.97726631,15.99739251,30642.79883,31498.73069
24,15.98316574,15.97913121,31259.62695,32959.48911
25,15.98727894,15.99739251,31939.72852,33445.68828
26,15.98921776,16.01565207,32660.36914,33967.18191
27,15.99040604,15.9426086,33412.89453,34681.71463
28,15.98790073,15.97913121,34182.89844,35089.40164
29,15.9835434,15.92434904,34939.55078,35437.30416
30,15.97619629,15.96086991,35669.16797,35927.82511
31,15.96798134,15.90608774,36339.87109,36312.46268
32,15.95783043,15.92434904,36924.68359,37034.91864
33,15.94722366,15.90608774,37478.48828,37498.06837
34,15.93707752,15.88782644,38011.83203,37823.64174
35,15.92636681,15.86956514,38496.90234,38656.30285
36,15.91475201,15.86956514,38987.30078,39388.12264
37,15.90323544,15.85130558,39494.18359,39888.00743
38,15.89199352,15.83304428,40017.04297,40117.78156
39,15.87983036,15.81478297,40554.4375,40214.3011
40,15.86724854,15.77826211,41082.35547,40624.86929
41,15.85262203,15.77826211,41581.27734,40930.2744
42,15.83731174,15.76000081,42045.36719,41334.35994
43,15.82096386,15.74173951,42465.84766,41658.49272
44,15.80436611,15.76000081,42856.27344,42285.14943
45,15.78911209,15.70521865,43233.12109,42951.42238
46,15.7739048,15.70521865,43602.57031,44474.84646
47,15.75888062,15.68695734,44021.61719,45394.66327
48,15.74414158,15.68695734,44530.89063,45975.9414
49,15.73013878,15.65043474,45138.16797,46783.39217
