,Predictions,price,Predictions,volume
0,7.865109444,7.836129105,13790.63867,15824.6405
1,7.86039257,7.827097092,14833.50879,17119.04216
2,7.855234623,7.836129105,16008.95117,17429.49331
3,7.850401878,7.827097092,17299.32227,18017.04134
4,7.845583439,7.836129105,18638.65234,18525.0523
5,7.841505527,7.827097092,19930.58789,19280.65446
6,7.837959766,7.827097092,21138.2832,19865.63678
7,7.835011959,7.836129105,22245.56641,21632.12945
8,7.833045006,7.836129105,23247.00391,22510.88578
9,7.832325935,7.827097092,24165.98242,23571.80766
10,7.831932068,7.836129105,25036.16016,24019.52439
11,7.832070351,7.836129105,25863.90625,24935.48355
12,7.832581043,7.836129105,26702.04883,27744.93811
13,7.833081722,7.836129105,27640.29102,30264.46723
14,7.833858013,7.827097092,28725.53125,31941.15997
15,7.834129333,7.836129105,29982.62109,32522.29372
16,7.834433079,7.827097092,31361.16602,33081.61892
17,7.834280014,7.827097092,32796.50781,34663.38033
18,7.833570957,7.836129105,34213.64453,35866.69922
19,7.832992554,7.836129105,35625.69531,36427.30728
20,7.832832336,7.836129105,36984.63281,38036.00865
21,7.832803249,7.836129105,38302.73047,39166.20476
22,7.833132744,7.836129105,39557.51172,39688.32714
23,7.83370924,7.836129105,40683.99609,41978.22503
24,7.834411621,7.836129105,41765.51953,43348.3152
25,7.835221291,7.836129105,42878.98438,43690.83774
26,7.835727692,7.836129105,44040.46875,44334.83144
27,7.836258411,7.836129105,45204.10938,44863.36809
28,7.836546898,7.836129105,46296.8125,45157.14211
29,7.836546898,7.836129105,47304.24609,45547.13032
30,7.836546898,7.845161549,48221.62891,46058.98985
31,7.836890697,7.836129105,49004.32031,46561.86939
32,7.837324142,7.836129105,49683.51172,47198.16595
33,7.837679386,7.845161549,50295.88281,47803.67396
34,7.838224411,7.845161549,50808.15234,48302.70493
35,7.839035511,7.836129105,51290.79297,50912.03396
36,7.839715958,7.836129105,51858.95313,56615.61158
37,7.840064049,7.836129105,52689.57031,60950.38188
38,7.840038776,7.845161549,53951.25,61913.80671
39,7.840040684,7.836129105,55643.92969,62702.76313
40,7.839916706,7.836129105,57648.89844,63140.21701
41,7.839521885,7.845161549,59797.64453,64991.37817
42,7.839544773,7.836129105,61972.80859,65419.85206
43,7.839504719,7.845161549,64049.77734,66333.24551
44,7.839568615,7.836129105,65946.64844,66864.34787
45,7.839708328,7.827097092,67608.16406,68467.91783
46,7.839494705,7.836129105,68983.64844,69285.09708
47,7.838886261,7.827097092,70049.84375,70189.51053
48,7.837771893,7.827097092,70960.95313,71093.92399
49,7.836144447,7.827097092,71880.33594,71573.71212
50,7.834513187,7.818064648,72795.47656,71789.23192
51,7.832457066,7.818064648,73682.14063,72606.41117
52,7.829984665,7.827097092,74483.875,73560.85601
53,7.827963829,7.818064648,75266.07031,74379.31811
54,7.82600069,7.827097092,76017.72656,75243.96303
55,7.824782372,7.818064648,76763.97656,75957.23095
56,7.823918343,7.818064648,77478.45313,76896.28151
57,7.82296896,7.827097092,78208.40625,77572.3466
58,7.82260561,7.818064648,78951.38281,78862.8997
59,7.82233429,7.818064648,79723.71094,79740.37318
60,7.822039127,7.818064648,80543.36719,80529.3296
61,7.821777344,7.818064648,81405.49219,81201.54613
62,7.82131958,7.818064648,82270.32813,83201.51857
63,7.820661068,7.818064648,83165.39063,84123.89201
64,7.820218086,7.809032635,84107.3125,84719.13718
65,7.819339275,7.818064648,85078.96875,85510.65931
66,7.818650723,7.818064648,86064.79688,86862.78949
67,7.81805563,7.809032635,87056.33594,88027.62271
68,7.817226887,7.818064648,88066.51563,88512.54226
69,7.816763401,7.818064648,89057.58594,89676.09262
70,7.816511631,7.809032635,90045.16406,90572.80894
71,7.816174984,7.809032635,91026.46094,91114.17416
72,7.815630913,7.800000191,91986.90625,91812.0478
73,7.814556122,7.809032635,92875.1875,93316.83785
74,7.8132658,7.800000191,93760.72656,94734.39369
75,7.81178236,7.800000191,94678.61719,95638.80714
76,7.809844971,7.800000191,95626.10156,97312.93418
77,7.807898045,7.800000191,96609.49219,97543.84825
78,7.80618906,7.800000191,97619.10938,99188.4696
79,7.804503918,7.800000191,98679.05469,103090.9174
80,7.803210258,7.800000191,99852.28125,104526.4333
81,7.802420616,7.809032635,101182.625,104788.1359
82,7.802184582,7.809032635,102628.7969,106223.6517
83,7.802684307,7.809032635,104133.8281,107349.9992
84,7.803479195,7.809032635,105628.2422,107878.5359
85,7.804780006,7.809032635,107068.8594,107993.9929
86,7.806125641,7.818064648,108410.5625,108876.5978
87,7.807704926,7.809032635,109599.6797,109385.8917
88,7.809182644,7.809032635,110670.7109,109760.4856
89,7.810341358,7.809032635,111564.9609,110487.8649
90,7.811087608,7.827097092,112253.9844,111385.8641
91,7.81208849,7.818064648,112888.9609,112192.7805
92,7.813167572,7.818064648,113532.4453,112800.8542
93,7.814429283,7.818064648,114152.8594,113036.8997
94,7.815693855,7.818064648,114762.2969,113684.742
95,7.816823006,7.827097092,115378.3672,114459.587
96,7.818065643,7.818064648,116010.4531,115089.4693
97,7.819050312,7.827097092,116629.6641,115293.4434
98,7.820290089,7.818064648,117238.1016,115524.3574
99,7.821193695,7.827097092,117820.0313,116054.177
100,7.821971416,7.827097092,118357.7188,116496.7623
101,7.82254076,7.827097092,118851.1875,116687.9078
102,7.823494911,7.827097092,119304.8594,117162.5645
103,7.824459553,7.827097092,119731.7969,117411.4386
104,7.825352192,7.827097092,120142.2813,117591.0384
105,7.82611084,7.827097092,120516.4688,117895.0753
106,7.826606274,7.827097092,120855.1406,118640.4146
107,7.827162743,7.818064648,121185.9297,119013.7257
108,7.827066898,7.818064648,121533.2734,119519.1709
109,7.826591969,7.827097092,121900.2188,120517.2329
110,7.825809479,7.836129105,122298.3984,121515.2948
111,7.825592041,7.827097092,122757.5,121965.5772
112,7.825782776,7.827097092,123285.1641,122160.5713
113,7.826204777,7.818064648,123847.4844,122573.651
114,7.826374531,7.827097092,124428.6328,122932.8506
115,7.826437473,7.827097092,125006.25,123107.319
116,7.826497078,7.827097092,125551.0234,123397.2445
117,7.826599121,7.818064648,126036.7422,124081.0067
118,7.826505661,7.827097092,126487.9922,124318.3351
119,7.826208591,7.827097092,126903.375,124864.8317
120,7.825814724,7.818064648,127282.8281,125889.8336
121,7.825239658,7.818064648,127666.4922,126604.3844
122,7.824701786,7.818064648,128099.4141,127204.761
123,7.823930264,7.818064648,128593.8984,127444.6551
124,7.823104382,7.818064648,129124,127649.912
125,7.822003365,7.818064648,129665.6328,128136.1144
126,7.821015358,7.818064648,130206.3516,129565.216
127,7.820208073,7.818064648,130762.4297,130749.292
128,7.819701672,7.818064648,131352.7031,131416.3771
129,7.819167137,7.827097092,132003.2656,131631.8969
130,7.819208145,7.827097092,132681.5625,131817.911
131,7.819969177,7.818064648,133343.9844,132270.7592
132,7.820748329,7.818064648,133984.5156,132284.8706
133,7.821303844,7.827097092,134578.9844,132396.4791
134,7.821879387,7.818064648,135114.0938,132468.319
135,7.822241306,7.818064648,135570.25,133350.9239
136,7.822291851,7.827097092,135957.6719,133716.5379
137,7.822376251,7.818064648,136275.1719,135597.2047
138,7.822324276,7.827097092,136616.5156,135916.6358
139,7.822403908,7.827097092,137031.4063,136946.7692
140,7.822633743,7.827097092,137550.5781,138497.742
141,7.823242188,7.827097092,138195.0156,138955.7216
142,7.824195862,7.827097092,138938.0313,139344.427
143,7.825109482,7.827097092,139753.6563,139475.2783
144,7.825817108,7.827097092,140578.9688,139554.8154
145,7.826606274,7.818064648,141358.625,140112.8577
146,7.826824665,7.818064648,142043.2656,140197.5262
147,7.826300144,7.827097092,142638.3281,140288.609
148,7.825809479,7.827097092,143093.1563,140432.2888
149,7.825253963,7.827097092,143474.8438,140610.6058
150,7.825016022,7.818064648,143767.0938,141358.5108
151,7.824746609,7.827097092,143997.0781,141494.4936
152,7.824625015,7.827097092,144228.125,141784.419
153,7.824726582,7.827097092,144469.0469,142019.1817
154,7.825042248,7.836129105,144727.2031,142428.4127
155,7.82585001,7.827097092,145003.2656,142715.7724
156,7.826918602,7.836129105,145280.9219,143226.3491
157,7.82810688,7.827097092,145583.4063,143591.9631
158,7.828992367,7.836129105,145908.2188,143990.9313
159,7.829986572,7.827097092,146251.0156,144344.9995
160,7.83075428,7.836129105,146606.6406,145048.0046
161,7.831572533,7.836129105,146967.7656,145119.8445
162,7.832184792,7.845161549,147349.4844,145733.0497
163,7.833220005,7.845161549,147744.4063,145883.1438
164,7.834721565,7.845161549,148143.125,146060.1779
165,7.836459637,7.836129105,148526.625,146479.6718
166,7.838208675,7.845161549,148896.6094,146818.3458
167,7.839640141,7.845161549,149246.5938,147477.7338
168,7.841097355,7.854193562,149596.375,148199.9817
169,7.842538357,7.854193562,149964.0625,148415.5015
170,7.844374657,7.863226006,150351.7969,148477.0786
171,7.846507072,7.863226006,150735.25,148579.7071
172,7.849136353,7.854193562,151118.3281,148668.2241
173,7.851564884,7.863226006,151463.9844,148795.2269
174,7.854000092,7.863226006,151778.3125,148964.5638
175,7.856312275,7.854193562,152053.4531,149023.5752
176,7.85809803,7.863226006,152279.3125,149348.1378
177,7.859202385,7.854193562,152470.9844,149567.5062
178,7.859675407,7.863226006,152632.6875,149847.1688
179,7.859770298,7.863226006,152782.1563,150188.4084
180,7.859927654,7.863226006,152951.6719,150455.2425
181,7.860115051,7.863226006,153148.9688,150792.6336
182,7.860543728,7.863226006,153372.5781,150973.5163
183,7.86120224,7.863226006,153616.7813,151192.8847
184,7.861682415,7.863226006,153872.5313,151616.2271
185,7.86218214,7.863226006,154138.6563,151697.0471
186,7.862727642,7.863226006,154410.1406,152098.581
187,7.862966537,7.863226006,154678.0625,152564.2577
188,7.863246441,7.863226006,154954.4219,152638.6633
189,7.863246441,7.863226006,155232.4219,154936.2584
190,7.863246441,7.863226006,155576.6875,155042.7354
191,7.863246441,7.863226006,156002.625,155060.6954
192,7.863246441,7.863226006,156484.2031,155371.1465
193,7.863246441,7.863226006,156997.7969,155389.1065
194,7.863246441,7.863226006,157504.4063,155709.8205
195,7.863246441,7.863226006,157975.2813,155949.7146
196,7.863246441,7.863226006,158408.7188,156076.7173
197,7.863246441,7.863226006,158783.5156,156315.3285
198,7.863246441,7.863226006,159100.7031,156806.6624
199,7.863246441,7.863226006,159388.7031,156884.9166
200,7.863246441,7.863226006,159592.4531,156936.2308
201,7.863246441,7.863226006,159805.0469,156945.2108
202,7.863246441,7.863226006,160014.625,157046.5564
203,7.863246441,7.87225802,160202.5156,157703.3787
204,7.863604069,7.863226006,160393.9531,157930.4442
205,7.864047527,7.87225802,160587.2031,158111.3269
206,7.864764214,7.863226006,160789.5781,158392.2723
207,7.865404129,7.863226006,161006.4375,158500.0322
208,7.865785122,7.863226006,161228.375,158787.392
209,7.865861416,7.863226006,161448.0625,159242.8058
210,7.865668297,7.863226006,161687.1563,159628.9455
211,7.865287304,7.863226006,161948.7969,159804.6967
212,7.864805698,7.863226006,162227.4688,160344.7791
213,7.864305496,7.863226006,162522.5313,160611.6131
214,7.863762856,7.854193562,162817.1719,161195.3126
215,7.863166809,7.863226006,163137.2656,162417.8743
216,7.862446308,7.854193562,163512.7188,162685.9912
217,7.861732006,7.854193562,163940.6094,162737.3055
218,7.860737801,7.854193562,164403.1406,163084.9594
219,7.859558105,7.845161549,164871.9844,163209.3965
220,7.857972622,7.845161549,165320.2344,164743.6922
221,7.85601902,7.845161549,165781.1875,164954.0806
222,7.853874683,7.854193562,166264.3125,166417.8192
223,7.852102757,7.845161549,166788.3906,166612.8133
224,7.850625515,7.854193562,167359.25,167002.8016
225,7.849836826,7.854193562,167949.3438,167255.5242
226,7.849497318,7.854193562,168520.8125,167360.7184
227,7.849882603,7.854193562,169082.5781,167427.4269
228,7.850589752,7.854193562,169607.0938,167595.481
229,7.85146904,7.854193562,170062.4063,167889.255
230,7.852469921,7.854193562,170452.3594,167908.4979
231,7.853252411,7.845161549,170736.0469,168165.0691
232,7.853449345,7.854193562,170979.3281,168583.2801
233,7.85324955,7.854193562,171164.6563,168723.1114
234,7.85317421,7.863226006,171355.0469,169069.4825
235,7.853329659,7.854193562,171551.1094,169355.5594
236,7.853742123,7.854193562,171763.3594,169382.4994
