,Predictions,price
0,18.92251778,18.93350971
1,18.92597389,18.93350971
2,18.92907333,18.93350971
3,18.93123245,18.91912341
4,18.93022156,18.93350971
5,18.92890549,18.93350971
6,18.92880058,18.947896
7,18.93218613,18.99105489
8,18.94344711,19.01982474
9,18.96401596,18.99105489
10,18.98179054,19.01982474
11,18.99795341,19.01982474
12,19.01026535,19.01982474
13,19.01788712,19.01982474
14,19.02097511,19.01982474
15,19.02145576,19.01982474
16,19.02022552,19.03421104
17,19.02108383,19.01982474
18,19.02183914,19.01982474
19,19.02172661,19.00543845
20,19.01754761,19.01982474
21,19.01489067,19.01982474
22,19.01379204,19.00543845
23,19.01158524,19.01982474
24,19.01100349,19.03421104
25,19.01435471,19.01982474
26,19.01749611,19.03421104
27,19.02194214,19.09175623
28,19.03578377,19.10614252
29,19.05723,19.10614252
30,19.07873154,19.13491237
31,19.10073662,19.10614252
32,19.11351967,19.12052882
33,19.11935616,19.09175623
34,19.11580086,19.09175623
35,19.10703278,19.09175623
36,19.09695053,19.12052882
37,19.09427643,19.10614252
38,19.09597397,19.10614252
39,19.09853745,19.10614252
40,19.10047722,19.09175623
41,19.09952736,19.07736993
42,19.09303093,19.10614252
43,19.09022713,19.09175623
44,19.08804131,19.09175623
45,19.08680725,19.07736993
46,19.08367157,19.07736993
47,19.08010483,19.09175623
48,19.07881546,19.09175623
49,19.08002472,19.07736993
50,19.07993889,19.07736993
51,19.07819176,19.06298363
52,19.07320976,19.06298363
53,19.06781197,19.04859734
54,19.06015968,19.04859734
55,19.05273819,19.06298363
56,19.04928589,19.06298363
57,19.04972649,19.04859734
58,19.05012512,19.06298363
59,19.05191612,19.04859734
60,19.05177307,19.04859734
61,19.05030441,19.04859734
62,19.04807091,19.03421104
63,19.04374695,19.03421104
64,19.03837395,19.04859734
65,19.03623581,19.01982474
66,19.03247643,19.03421104
67,19.02970505,19.01982474
68,19.02579308,19.03421104
69,19.02457047,19.01982474
70,19.02272606,19.01982474
71,19.02066422,19.00543845
72,19.01642227,19.03421104
73,19.01578331,19.01982474
74,19.01634407,19.01982474
75,19.01734543,19.01982474
76,19.0173645,19.03421104
77,19.01996994,19.01982474
78,19.02112961,19.01982474
79,19.02122116,19.01982474
80,19.02003288,18.99105489
81,19.01387024,18.99105489
82,19.0048008,18.99105489
83,18.99682999,18.99105489
84,18.99057579,18.99105489
85,18.98698616,18.9766686
86,18.98333549,18.9766686
87,18.98006821,18.99105489
88,18.97935677,18.99105489
89,18.98114014,18.99105489
90,18.98405838,18.99105489
91,18.98631287,18.9766686
92,18.98577118,18.99105489
93,18.98544121,18.9766686
94,18.98352432,18.99105489
95,18.9829998,18.9766686
96,18.98130035,18.99105489
97,18.98135567,18.9766686
98,18.98087502,18.99105489
99,18.98173904,18.9766686
100,18.9813633,18.9622823
101,18.97752571,18.9622823
102,18.97154236,18.9622823
103,18.96614265,18.9622823
104,18.96178818,18.9622823
105,18.95957565,18.9622823
106,18.95849419,18.947896
107,18.95651817,18.93350971
108,18.95095825,18.93350971
109,18.94438553,18.947896
110,18.94029808,18.947896
111,18.93916321,18.93350971
112,18.93809319,18.93350971
113,18.93656921,18.91912341
114,18.93268967,18.91912341
115,18.9276638,18.91912341
116,18.92300224,18.91912341
117,18.91930008,18.86158097
118,18.90816879,18.84719467
119,18.89078712,18.84719467
120,18.8727932,18.86158097
121,18.86005783,18.90473712
122,18.85970688,18.90473712
123,18.8689537,18.84719467
124,18.873209,18.84719467
125,18.8710289,18.84719467
126,18.8649292,18.84719467
127,18.85797119,18.83280838
128,18.84885597,18.81842208
129,18.83845711,18.83280838
130,18.83095932,18.81842208
131,18.8254509,18.83280838
132,18.82442474,18.83280838
133,18.82592964,18.84719467
134,18.82938194,18.84719467
135,18.83483315,18.84719467
136,18.84037781,18.84719467
137,18.84475708,18.84719467
138,18.84720039,18.86158097
139,18.85001373,18.86158097
140,18.8537159,18.84719467
141,18.85469818,18.87596727
142,18.85796738,18.84719467
143,18.85865211,18.86158097
144,18.85907745,18.86158097
145,18.85943794,18.86158097
146,18.85983467,18.86158097
147,18.86021042,18.83280838
148,18.85634041,18.84719467
149,18.85193443,18.81842208
150,18.84420204,18.83280838
151,18.83677292,18.81842208
152,18.83036613,18.84719467
153,18.82826614,18.80403578
154,18.82501602,18.81842208
155,18.82178497,18.80403578
